row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target,odds_ratio,log_odds_ratio,total_with_code
14671,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-4,"Symptoms experienced prior to getting tested, selected; Chest pain",9,2,43,472,43,2,41.275862068965516,3.720277875571499,11
42409,target_pcr_positive,target_pcr_positive,31386-covid_results-1,"Participant indicates that the results they received as part of their at-home COVID test, included: Positive",19,11,19,430,19,11,37.43478260869565,3.622600288498581,30
11381,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-15,"Symptoms experienced prior to getting tested, selected; Loss of taste",11,3,41,471,41,3,37.33046471600689,3.619809741710696,14
12791,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-23,"Symptoms experienced prior to getting tested, selected; Shortness of breath",13,4,39,470,39,4,35.734177215189874,3.5761075757864678,17
13966,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-3,"Symptoms experienced prior to getting tested, selected; Change in or loss of appetite",17,6,35,468,35,6,35.53087757313109,3.570402109224984,23
27126,target_pcr_positive,target_pcr_positive,30158-Symtpom_Neuro-7,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of smell",24,11,28,463,28,11,34.64759725400457,3.545228379912782,35
27361,target_pcr_positive,target_pcr_positive,30158-Symtpom_Neuro-8,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of taste",20,8,32,466,32,8,34.618099547511314,3.5443766535997985,28
70983,target_pcr_positive,target_pcr_positive,target_athome_positive,At-Home COVID Test Positive (Pink Line),23,11,27,449,27,11,33.40158102766799,3.5086032350200584,34
15846,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-9,"Symptoms experienced prior to getting tested, selected; Excessive sweating",14,5,38,469,38,5,32.149940968122785,3.4704106145426823,19
15611,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-8,"Symptoms experienced prior to getting tested, selected; Difficulty breathing",15,6,37,468,37,6,29.79179487179487,3.394233015725721,21
56712,target_pcr_positive,target_pcr_positive,32602-Symptoms_Ill_15,(If applicable) The participant indicates this was a first symptom related to: Loss of taste,9,3,43,471,43,3,29.420361247947454,3.3816869940900007,12
13731,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-29,"Symptoms experienced prior to getting tested, selected; Nausea or vomiting",9,3,43,471,43,3,29.420361247947454,3.3816869940900007,12
10911,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-13,"Symptoms experienced prior to getting tested, selected; Joint or any other unexplained pain",9,3,43,471,43,3,29.420361247947454,3.3816869940900007,12
11616,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-16,"Symptoms experienced prior to getting tested, selected; Loss of smell",13,5,39,469,39,5,29.174913693901036,3.3733092199472,18
42417,target_pcr_positive,target_pcr_positive,31386-covid_results-2,"Participant indicates that the results they received as part of their at-home COVID test, included: Negative",22,430,16,11,16,430,0.03642698764649984,-3.3124453601947415,452
10441,target_pcr_positive,target_pcr_positive,30141-covid_tst_symptoms-11,"Symptoms experienced prior to getting tested, selected; Fever or feverish feeling",17,8,35,466,35,8,27.054681027340514,3.297860041239226,25
